,0,1,,,
0,CA,Beloeil,,CA,221
1,CA,Gatineau,,US,2699
2,CA,Truro,,,
3,CA,Thetford-Mines,,,
4,CA,Burnaby,,,
5,CA,North Vancouver,,,
6,CA,Lethbridge,,,
7,CA,Sarnia,,,
8,CA,New Westminster,,,
9,CA,Mirabel,,,
10,CA,Halifax,,,
11,CA,Moncton,,,
12,CA,Willowdale,,,
13,CA,Parksville,,,
14,CA,Dieppe,,,
15,CA,Langley,,,
16,CA,North Bay,,,
17,CA,Laval,,,
18,CA,Cornwall,,,
19,CA,Saint-Augustin-de-Desmaures,,,
20,CA,Fort St. John,,,
21,CA,Huntsville,,,
22,CA,Brant,,,
23,CA,Guelph,,,
24,CA,Beaconsfield,,,
25,CA,Boisbriand,,,
26,CA,Ancaster,,,
27,CA,New Glasgow,,,
28,CA,Dorval,,,
29,CA,Fort McMurray,,,
30,CA,Burlington,,,
31,CA,Sherwood Park,,,
32,CA,Pointe-Claire,,,
33,CA,Walnut Grove,,,
34,CA,Saint-Jean-sur-Richelieu,,,
35,CA,Kingston,,,
36,CA,Val-d'Or,,,
37,CA,Kamloops,,,
38,CA,Nanaimo,,,
39,CA,Kirkland,,,
40,CA,Whitehorse,,,
41,CA,Saint John,,,
42,CA,Saint-Constant,,,
43,CA,Baie-Comeau,,,
44,CA,Petawawa,,,
45,CA,Edmonton,,,
46,CA,Fort Erie,,,
47,CA,Thunder Bay,,,
48,CA,Blainville,,,
49,CA,Richmond Hill,,,
50,CA,Boucherville,,,
51,CA,Amos,,,
52,CA,Milton,,,
53,CA,Orillia,,,
54,CA,Repentigny,,,
55,CA,Rivière-du-Loup,,,
56,CA,Rimouski,,,
57,CA,Calgary,,,
58,CA,Keswick,,,
59,CA,Saint-Léonard,,,
60,CA,West End,,,
61,CA,Brandon,,,
62,CA,Campbell River,,,
63,CA,Orangeville,,,
64,CA,Victoria,,,
65,CA,Courtenay,,,
66,CA,Fredericton,,,
67,CA,Corner Brook,,,
68,CA,Sherbrooke,,,
69,CA,Salmon Arm,,,
70,CA,Cranbrook,,,
71,CA,Charlottetown,,,
72,CA,Edmundston,,,
73,CA,Owen Sound,,,
74,CA,Cobourg,,,
75,CA,St. Catharines,,,
76,CA,St. Thomas,,,
77,CA,Alma,,,
78,CA,Vernon,,,
79,CA,Glace Bay,,,
80,CA,Airdrie,,,
81,CA,Rayside-Balfour,,,
82,CA,Port Colborne,,,
83,CA,Waterloo,,,
84,CA,Kitchener,,,
85,CA,Mississauga,,,
86,CA,Camrose,,,
87,CA,Joliette,,,
88,CA,Prince Edward,,,
89,CA,Bellechasse Regional County Municipality,,,
90,CA,Anmore,,,
91,CA,Etobicoke,,,
92,CA,Victoriaville,,,
93,CA,Sainte-Julie,,,
94,CA,Mascouche,,,
95,CA,Côte-Saint-Luc,,,
96,CA,Langley,,,
97,CA,Chambly,,,
98,CA,Brockville,,,
99,CA,Pickering,,,
100,CA,Norfolk County,,,
101,CA,Coquitlam,,,
102,CA,Sept-Îles,,,
103,CA,Dartmouth,,,
104,CA,La Prairie,,,
105,CA,Port Alberni,,,
106,CA,Medicine Hat,,,
107,CA,Port Moody,,,
108,CA,Yellowknife,,,
109,CA,Winnipeg,,,
110,CA,St. Albert,,,
111,CA,Abbotsford,,,
