,0,1
0,Toronto,Canada
1,Toronto,Canada
2,Mississauga,Canada
3,Brampton,Canada
4,Toronto,Canada
5,Markham,Canada
6,Markham,Canada
7,Ottawa,Canada
8,Sudbury,Canada
9,Orangeville,Canada
10,Cambridge,Canada
11,Waterloo,Canada
12,Seattle,USA
13,Mississauga,Canada
14,Houston,Canada
15,Toronto,Canada
16,Ottawa,Canada
17,Moncton,Canada
18,York,USA
19,Vancouver,Canada
20,Vancouver,Canada
21,San Diego,USA
22,Kitchener,Canada
23,Kitchener,Canada
24,Palo Alto,USA
25,Redwood City,USA
26,San Mateo,USA
27,Foster City,USA
28,Waterloo,Canada
29,Burlington,Canada
30,Los Angeles,USA
31,Brampton,Canada
32,University,Canada
33,Calgary,Canada
34,Street,UK
35,Woodstock,Canada
36,Toronto,Canada
37,Cambridge,Canada
38,St. Catharines,Canada
39,Calgary,Canada
40,Caledon,Canada
41,Peterborough,Canada
42,Kanata,Canada
43,Waterloo,Canada
44,Mississauga,Canada
45,,
46,Forest,Canada
47,Redmond,USA
48,Singapore,Singapore
49,Woodbridge,USA
50,Guelph,Canada
51,Cambridge,Canada
52,Kitchener,Canada
53,Brampton,Canada
54,Guelph,Canada
55,St. Catharines,Canada
56,Mississauga,Canada
57,Toronto,Canada
58,Cupertino,USA
59,Chicago,USA
60,York,USA
61,Mississauga,Canada
62,San Francisco,USA
63,Mountain View,USA
64,Mountain View,USA
65,Nakuru,Kenya
66,Manhattan,USA
67,London,Canada
68,Mississauga,Canada
69,Vaughan,Canada
70,Vaughan,Canada
71,Hamilton,Canada
72,Markham,Canada
73,,
74,,
75,Dubai,United Arab Emirates
76,Waterloo,Canada
77,Cupertino,USA
78,,
79,Woodstock,Canada
80,,
81,Markham,Canada
82,Mississauga,Canada
83,North York,Canada
84,Menlo Park,USA
85,Caledon,Canada
86,Cupertino,USA
87,Mexico,Philippines
88,Miami,USA
89,Brooklyn,USA
90,San Francisco,USA
91,San Francisco,Canada
92,Menlo Park,USA
93,Menlo Park,USA
94,Adelaide,Australia
95,Adelaide,Australia
96,Mackenzie,Canada
97,Montreal,Canada
98,Kitchener,Canada
99,Ottawa,Canada
100,Los Angeles,USA
101,Calgary,Canada
102,Ottawa,Canada
103,Sunnyvale,USA
104,Toronto,Canada
105,Etobicoke,Canada
106,Sunnyvale,USA
107,New York City,USA
108,Stoney Creek,Canada
109,Burlington,Canada
110,Halifax,Canada
111,Murray,Canada
112,,
113,Murray,Canada
114,Edmonton,Canada
115,Oakville,Canada
116,Ingersoll,Canada
117,Waterloo,Canada
118,New Brunswick,USA
119,New Hamburg,Canada
120,,
121,Toronto,Canada
122,Kitchener,Canada
123,Woodstock,Canada
124,Toronto,Canada
125,Richmond,Canada
126,Newmarket,Canada
127,Toronto,Canada
128,New York City,USA
129,Woodbridge,USA
130,Waterloo,Canada
131,Woodbridge,USA
132,,
133,,
134,Woodbridge,USA
135,Lagos,Greece
136,,
137,,
138,Cambridge,Canada
139,Woodstock,Canada
140,China,Mexico
141,Peterborough,Canada
142,Street,UK
143,Menlo Park,USA
144,Redwood City,USA
145,Redwood City,USA
146,Fergus,Canada
147,Burlington,Canada
148,Fort McMurray,Canada
149,Munich,Germany
150,,
151,,
152,,
153,,
154,Brockville,Canada
155,Jordan,Philippines
156,Belleville,Canada
157,Richmond,Canada
158,Toronto,Canada
159,Concord,USA
160,North York,Canada
161,Waterloo,Canada
162,Hagersville,Canada
163,Newmarket,Canada
164,Cambridge,Canada
165,Cambridge,Canada
166,London,Canada
167,London,Canada
168,St. Louis,USA
169,,
170,,
171,Scarborough,Canada
172,,
173,Lahore,Pakistan
174,Stratford,Canada
175,Toronto,Canada
176,Seattle,USA
177,Washington,USA
178,Toronto,Canada
179,Agra,India
180,,
181,Santa Clara,USA
182,Oshawa,Canada
183,Bolton,Canada
184,York,USA
185,New York City,Canada
186,Boston,USA
187,Palo Alto,USA
188,Cambridge,Canada
189,Ottawa,Canada
190,Ottawa,Canada
191,Vancouver,Canada
192,Fremont,USA
193,Miami Beach,USA
194,Stoney Creek,Canada
195,,
196,Oakville,Canada
197,Cambridge,Canada
198,Palo Alto,USA
199,Meadow Lake,Canada
200,Redmond,USA
201,Tokyo,Japan
202,Calgary,Canada
203,Brampton,Canada
204,,
205,,
206,,
207,Brampton,Canada
208,,
209,Sunnyvale,USA
210,Manchester,USA
211,China,Mexico
212,Morristown,USA
213,Dublin,USA
214,Kitchener,Canada
215,University,USA
216,Kitchener,Canada
217,Hamilton,Canada
218,Sarnia,Canada
219,,
220,Chatham,Canada
221,Jordan,Philippines
222,Frankfurt Am Main,Germany
223,North York,Canada
224,The Hague,Netherlands
225,Bangkok,Thailand
226,Fremont,USA
227,Ottawa,Canada
228,Kitchener,Canada
229,Hall,Austria
230,Oakville,Canada
231,Edmonton,Canada
232,Stamford,USA
233,London,Canada
234,Burlington,Canada
235,Woodland Hills,USA
236,Kitchener,Canada
237,Brighton,Canada
238,Panipat,India
239,Chennai,India
240,,
241,Newmarket,Canada
242,,
243,Lethbridge,Canada
244,Whitby,Canada
245,Redmond,USA
246,,
247,Cambridge,Canada
248,London,Canada
249,Toronto,Canada
250,Richmond,Canada
251,Toronto,Canada
252,Newmarket,Canada
253,London,Canada
254,Ottawa,Canada
255,Santa Clara,USA
